building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
The Moose Lodge,301,1309 SE 8th St Minneapolis MN 55414,5,2,$3500.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9549,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer"
1301 7th Street SE,#1,1301 7th St SE Minneapolis MN 55414 United States,3,2,$2175.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9594,"Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Custom Tile Backsplash, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, LED Smart T.V., Microwave, New Cabinets, New Windows, Oven, Porch, Private Entrance, Private Terrace, Refrigerator, Sound Barrier Construction, Tile, Vaulted Ceilings, Walking Distance to Class, Window Treatments & Coverings, Laundry On-Site, Deck, Yard"
1315 7th Street SE,#1,1315 7th St SE Minneapolis MN 55414 United States,5,2,$3625.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9600,"Hardwood Floors, Oven, Porch, Refrigerator, Walking Distance to Class, Laundry On-Site"
1315 7th Street SE,#2,1315 7th St SE Minneapolis MN 55414 United States,5,2,$3625.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9600,"Hardwood Floors, Oven, Porch, Refrigerator, Walking Distance to Class, Laundry On-Site"
728 8th St. SE and 804 8th Ave SE,Upper,728 SE 8th St Minneapolis MN 55414,5,2,$3150.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/71323,"Air Conditioning, Walking Distance to Class, 24 Hour Emergency Maintenance, On Bus Line"
728 8th St. SE and 804 8th Ave SE,Lower,728 SE 8th St Minneapolis MN 55414,5,2,$3150.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/71323,"Air Conditioning, Walking Distance to Class, 24 Hour Emergency Maintenance, On Bus Line"
4 BedroomDuplex 617 4th St SE,,617 4th St SE Minneapolis MN 55414 USA,4,1,Call For Price,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/67366,"Built-in Cabinets, Microwave, Refrigerator, No Pets Allowed"
The Loon and Bear Lodges,Loon Lodge,801 14th Ave SE Minneapolis MN 55414 United States,5,3,$4125.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9556,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer"
The Loon and Bear Lodges,Bear Lodge,801 14th Ave SE Minneapolis MN 55414 United States,5,3,$3625.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9556,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer"
4 Bedroom House! 319 SE 7th Ave,,319 SE 7th AveMinneapolis MN 55414,4,1,$1900.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/104426,"Oven, Refrigerator, No Pets Allowed"
#1,,301 5th Ave SE Minneapolis MN 55414 USA,6,3,$3300.00,2500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38223,"Oven, Porch, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Walk-in Closet"
1213 7th st SE,2,1213 SE 7th St Minneapolis MN 55414 USA,5,3,$3750.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9592,"Breakfast Bar, Hardwood Floors, Oven, Porch, Private Balcony, Refrigerator, Walking Distance to Class"
5 Bedroom House! 1070 16th Ave SE,,1070 16th Ave SE Minneapolis MN 55414 USA,5,2,$450.00 - $2250.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/83459,"Hardwood Floors, Oven, Refrigerator"
The Eagle Lodge,101,1331 8th St SE Minneapolis MN 55414 United States,5,2,$3400.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9551,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Washer & Dryer, Walking Distance to Class"
The Eagle Lodge,201,1331 8th St SE Minneapolis MN 55414 United States,5,2,$3750.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9551,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Washer & Dryer, Walking Distance to Class"
The Eagle Lodge,301,1331 8th St SE Minneapolis MN 55414 United States,5,2,$3750.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9551,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Washer & Dryer, Walking Distance to Class"
5 Bedroom House! 1078 16th Ave SE,,1078 16th Ave SE Minneapolis MN 55414 USA,5,2,$2375.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/83458,Hardwood Floors
911 21st Ave SE,5 Bed 2 Bath Home,911 21st Ave SE Minneapolis MN 55414 USA,5,2,$2900.00,2800,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/233760,"Fireplace, Hardwood Floors, Microwave, Oven, Refrigerator, Washer & Dryer, Laundry On-Site, Yard"
123 Bedford St SE,,123 Bedford St SE Minneapolis MN 55414,1,1.5,$500.00 - $520.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/26333,"Carpet, Dishwasher, Fireplace, Garbage Disposal, Hardwood Floors, Individual Leases, Microwave, Oven, Parking Available, Partially Furnished, Porch, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Fire Pit, Sun Deck, Yard"
The Lynx,301,1121 8th St SE Minneapolis MN 55414 United States,3,3,$2250.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43655,"Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, Microwave, New Windows, Oven, Refrigerator, Walk-in Closet, Washer & Dryer, Window Treatments & Coverings, Laundry On-Site, On Bus Line"
The Lynx,401,1121 8th St SE Minneapolis MN 55414 United States,3,3,$2175.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43655,"Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, Microwave, New Windows, Oven, Refrigerator, Walk-in Closet, Washer & Dryer, Window Treatments & Coverings, Laundry On-Site, On Bus Line"
Main level duplex w/spacious shared basement,,853 23rd Ave SE Minneapolis MN 55414 USA,3,1,$1920.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/234812,
The Otter,101,1113 8th St SE Minneapolis MN 55414 United States,5,3,$3500.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43656,"Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, Microwave, Oven, Refrigerator, Shared Balcony, Sound Barrier Construction, Washer & Dryer, Window Treatments & Coverings, Laundry On-Site, On Bus Line"
619 11th Ave SE,,619 11th Ave SE Minneapolis MN 55414,4,2,$2780.00,2500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9560,"Hardwood Floors, Oven, Porch, Refrigerator, Tile, Walking Distance to Class"
The Raccoon,2,1012 8th St SE Minneapolis MN 55414 United States,5,2,$3250.00,1500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9577,"Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, Microwave, New Windows, Oven, Porch, Refrigerator, Sound Barrier Construction, Tile, Walking Distance to Class, Washer & Dryer, Laundry On-Site"
The Mallard Lodge,#1,1120 8th St SE Minneapolis MN 55414 United States,5,2,$3500.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9553,"Air Conditioning, Fireplace, Flat-Screen TV, New Cabinets, Oven, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer, On Bus Line"
The Mallard Lodge,#2,1120 8th St SE Minneapolis MN 55414 United States,5,3,$3450.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9553,"Air Conditioning, Fireplace, Flat-Screen TV, New Cabinets, Oven, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer, On Bus Line"
Campus Pride (1116 7th),#1,1116 7th St SE Minneapolis MN 55414,5,3,$4475.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115296,
Campus Pride (1116 7th),#2,1116 7th St SE Minneapolis MN 55414,5,3,$4000.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115296,
The 1201,1 Bedroom Units (5 Units Total),1201 SE 7th St Minneapolis MN 55414 USA,1,1,$675.00,140,Now,https://listings.umn.edu/city/minneapolis-mn/listing/62030,"9 Foot Ceilings, Ample Closet Space, Bay Windows, Dishwasher, Furnished, Furnished Packages Available, Garbage Disposal, Granite Countertops, Hardwood Floors, High Ceilings, Individual Leases, Individual Leases Offered, Microwave, New Cabinets, New Windows, Oven, Oversized Windows, Parking Available, Partially Furnished, Porch, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Walking Distance to Class, Washer & Dryer, Wood Plank Flooring, 24 Hour Emergency Maintenance, Academic Term or 12-month, Academic year, Alarm System, Cable Ready, Entrance Secured, Fiber Optic data service available, Housekeeping Available, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, No Smoking Allowed, On Bus Line, On-Site Storage, Pets Negotiable, Security System, Bike Path, Deck"
925 20th Ave SE,925 20th Ave SE,925 20th Ave SE Minneapolis MN 55414 USA,5,2,$2995.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/117691,"Dishwasher, Hardwood Floors, Microwave, Oven, Parking Available, Refrigerator, Washer & Dryer, Deck, Yard"
1056 15th Ave SE,House,1056 15th Ave SE Minneapolis MN 55414 USA,6,2.5,$3200.00,3400,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78613,"9 Foot Ceilings, Ceiling Fans, Central Heat and Air Conditioning, Den, Dining Room, Dishwasher, Fireplace, Microwave, Oven, Refrigerator, Stainless Steel Kitchen Appliances, Walk-in Closet, Deck, Fire Pit, Yard"
7 bed 3 bathhouse,,1026 12th Ave SE Minneapolis MN 55414 USA,7,3,$3900.00,2800,Now,https://listings.umn.edu/city/minneapolis-mn/listing/235507,
728 13th Avenue SE,,728 13th Ave SE Minneapolis MN 55414 United States,6,2,$4200.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9576,"Dishwasher, Hardwood Floors, Oven, Refrigerator, Walking Distance to Class"
608/610 13th Avenue SE,608,610 13th Ave SE Minneapolis MN 55414 United States,5,2,$3600.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9573,"Dishwasher, Hardwood Floors, Oven, Refrigerator, Walking Distance to Class"
608/610 13th Avenue SE,610,610 13th Ave SE Minneapolis MN 55414 United States,5,2,$3725.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9573,"Dishwasher, Hardwood Floors, Oven, Refrigerator, Walking Distance to Class"
1019 6th Street SE,1019 6th,1019 6th St SE Minneapolis MN 55414 United States,6,2,$4080.00,1000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9579,"Dishwasher, Hardwood Floors, Oven, Private Balcony, Refrigerator, Walking Distance to Class, Yard"
600 11th Ave SE,,600 11th Ave SE Minneapolis MN 55414,7,3,$3850.00,2581,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9557,"Dishwasher, Hardwood Floors, Oven, Porch, Refrigerator, Walking Distance to Class"
1815 Talmage Ave SE,,1815 Talmage Ave SE Minneapolis MN 55414,5,2,$2750.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115167,
1319/1321 7th Street SE,1321,1319 7th St SE Minneapolis MN 55414 United States,7,2,$4650.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9590,"Hardwood Floors, Oven, Porch, Private Balcony, Refrigerator, Walking Distance to Class, Laundry On-Site"
3 BedroomApartment619 4th St SE,,619 4th St SE Minneapolis MN 55414 USA,3,1,$1425.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/26358,"Hardwood Floors, Oven, Refrigerator, Laundry On-Site, On Bus Line"
Elmwood Properties - 829 15th Ave,House,829 15th Ave SE Minneapolis MN 55414 USA,5,2,$2800.00,1800,Now,https://listings.umn.edu/city/minneapolis-mn/listing/70441,"Ample Closet Space, Carpet, Central Heat and Air Conditioning, Dining Room, Dishwasher, Fresh Paint, New Carpet, Refrigerator, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance"
612 10th Avenue SE,1st floor,612 10th Ave SE Minneapolis MN 55414 United States,4,2,$2780.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9591,"Breakfast Bar, Hardwood Floors, Oven, Porch, Private Balcony, Refrigerator, Walking Distance to Class, Laundry On-Site, Yard"
612 10th Avenue SE,2nd floor,612 10th Ave SE Minneapolis MN 55414 United States,4,2,$3000.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9591,"Breakfast Bar, Hardwood Floors, Oven, Porch, Private Balcony, Refrigerator, Walking Distance to Class, Laundry On-Site, Yard"
612 10th Avenue SE,3rd floor,612 10th Ave SE Minneapolis MN 55414 United States,4,1,$2200.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9591,"Breakfast Bar, Hardwood Floors, Oven, Porch, Private Balcony, Refrigerator, Walking Distance to Class, Laundry On-Site, Yard"
1085 26th Ave SE,,1085 26th Ave SE Minneapolis MN 55414,6,2,$2790.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115165,
