building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
728 8th St. SE and 804 8th Ave SE,Upper,728 SE 8th St Minneapolis MN 55414,5,2,3150.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/71323,"{Air Conditioning, Walking Distance to Class, 24 Hour Emergency Maintenance, On Bus Line}"
728 8th St. SE and 804 8th Ave SE,Lower,728 SE 8th St Minneapolis MN 55414,5,2,3095.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/71323,"{Air Conditioning, Walking Distance to Class, 24 Hour Emergency Maintenance, On Bus Line}"
410 8th St SE,,408-410 8th St SE Minneapolis MN 55414 USA,5,2,3095.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38196,"{Oven, Pantry, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Walk-in Closet, Laundry On-Site}"
925 20th Ave SE,925 20th Ave SE,925 20th Ave SE Minneapolis MN 55414 USA,5,2,2995.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/117691,"{Dishwasher, Hardwood Floors, Microwave, Oven, Parking Available, Refrigerator, Washer & Dryer, Deck, Yard}"
1049 23rd Ave SE,,1049 23rd Ave SE Minneapolis MN 55414,5,2,2395.00,,09-03-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115163,"{Air Conditioning, Fire Pit}"
1 bedroom311 7th Ave SE,,311 SE 7th Ave Minneapolis MN 55414 USA,2,1,1150.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/26357,"{Hardwood Floors, Oven, Refrigerator, Cats, Laundry On-Site, On Bus Line}"
Dinkytown 6 Bedroom House,,518 12th Ave SE MINNEAPOLIS MN 55414 USA,6,2,4350.00,2200,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78130,"{Oven, Refrigerator}"
The Lynx,,1121 8th St SE Minneapolis MN 55414 United States,3,3,2085.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43655,"{Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, Microwave, New Windows, Oven, Parking Available, Refrigerator, Walk-in Closet, Washer & Dryer, Window Treatments & Coverings, 24 Hour Emergency Maintenance, Laundry On-Site, On Bus Line}"
5 Bedroom House! 1070 16th Ave SE,,1070 16th Ave SE Minneapolis MN 55414 USA,5,2,450.00 - 2250.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/83459,"{Hardwood Floors, Oven, Refrigerator}"
Modern 5 Bedroom Unit Close to U of M Campus!,#2,887 21st Ave SE - #1 Minneapolis MN 55414 USA,6,2,3995.00,2800,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/230081,{}
